Source,Target
019256_Vienna,Contract files for customers
019256_Vienna,Contract initiation
019256_Vienna,Contract mastering
019256_Vienna,Customer creation
019256_Vienna,Customer lookup
019256_Vienna,Customer mastering
019256_Vienna,L0 Core Capabilities
019256_Vienna,L0 Supporting Capabilities
019256_Vienna,L1 Commercial Operations
019256_Vienna,L1 Customer Relationship Management
019256_Vienna,L1 Document Management
019256_Vienna,L2 Collection Management
019256_Vienna,L2 Contract Management
019256_Vienna,L2 Invoice Management
019256_Vienna,Market Belgium (BE)
019256_Vienna,Market France (FR)
019256_Vienna,Market Germany (DE)
019256_Vienna,Market Ireland (IE)
019256_Vienna,Market Luxembourg (LU)
019256_Vienna,Market Netherlands (NL)
019256_Vienna,Market Switzerland (CH)
019256_Vienna,Market United Kingdom (GB)
019256_Vienna,VFS Canvas Architecture
019259_CLVIEW - ALL CHILE,Commercial Services & Products Operations
019259_CLVIEW - ALL CHILE,Customer & Partner Engagement
019259_CLVIEW - ALL CHILE,L0 Core Capabilities
019259_CLVIEW - ALL CHILE,L1 Commercial Operations
019259_CLVIEW - ALL CHILE,L1 Customer Relationship Management
019259_CLVIEW - ALL CHILE,L2 Asset Management
019259_CLVIEW - ALL CHILE,L2 Collection Management
019259_CLVIEW - ALL CHILE,L2 Contract Management
019259_CLVIEW - ALL CHILE,L2 Credit & Risk Management
019259_CLVIEW - ALL CHILE,L2 Invoice Management
019259_CLVIEW - ALL CHILE,L2 Payment Management
019259_CLVIEW - ALL CHILE,L2 Quote Management
019259_CLVIEW - ALL CHILE,L2 Sales Account Management
019259_CLVIEW - ALL CHILE,Market Chile (CL)
019260_CTCNTRT - Contrat,Commercial Services & Products Operations
019260_CTCNTRT - Contrat,L0 Core Capabilities
019260_CTCNTRT - Contrat,L1 Commercial Operations
019260_CTCNTRT - Contrat,L2 Contract Management
019261_CTCNTRL,Commercial Services & Products Operations
019261_CTCNTRL,L0 Core Capabilities
019261_CTCNTRL,L1 Commercial Operations
019261_CTCNTRL,L2 Contract Management
019262_CTFloorPlan,Commercial Services & Products Operations
019262_CTFloorPlan,L0 Core Capabilities
019262_CTFloorPlan,L1 Commercial Operations
019262_CTFloorPlan,L2 Asset Management
019262_CTFloorPlan,L2 Contract Management
019262_CTFloorPlan,L2 Credit & Risk Management
019262_CTFloorPlan,L2 Customer Service
019262_CTFloorPlan,L2 Invoice Management
019262_CTFloorPlan,L3 Limit & Exposure Management
019263_CTGESCOB,Commercial Services & Products Operations
019263_CTGESCOB,L0 Core Capabilities
019263_CTGESCOB,L1 Commercial Operations
019263_CTGESCOB,L2 Collection Management
019264_CTGESFIN,Commercial Services & Products Operations
019264_CTGESFIN,L0 Core Capabilities
019264_CTGESFIN,L1 Commercial Operations
019264_CTGESFIN,L2 Payment Management
019269_VFS AUS WAS,073029_VFS Navision
019269_VFS AUS WAS,Australia Identity Management System
019269_VFS AUS WAS,BEP Lease Loan WHS
019269_VFS AUS WAS,BEP Products
019269_VFS AUS WAS,Business Engine Platform (BEP)
019269_VFS AUS WAS,Commercial Services & Products Operations
019269_VFS AUS WAS,Customer & Partner Engagement
019269_VFS AUS WAS,Dealer Truck Portal
019269_VFS AUS WAS,DEP Channels
019269_VFS AUS WAS,DEP Channels - Dealer
019269_VFS AUS WAS,Digital Engagement Platform (DEP)
019269_VFS AUS WAS,L0 Core Capabilities
019269_VFS AUS WAS,L0 Supporting Capabilities
019269_VFS AUS WAS,L1 Channel Management
019269_VFS AUS WAS,L1 Commercial Operations
019269_VFS AUS WAS,L1 Communication Management
019269_VFS AUS WAS,L1 Customer Relationship Management
019269_VFS AUS WAS,L1 Data Management
019269_VFS AUS WAS,L1 Delivery and Activation
019269_VFS AUS WAS,L1 Document Management
019269_VFS AUS WAS,L1 User Management
019269_VFS AUS WAS,L2 Account Management
019269_VFS AUS WAS,L2 Collection Management
019269_VFS AUS WAS,L2 Contract Management
019269_VFS AUS WAS,L2 Credit & Risk Management
019269_VFS AUS WAS,L2 Customer Information Management
019269_VFS AUS WAS,L2 Digital Channel Management
019269_VFS AUS WAS,L2 Document Generation
019269_VFS AUS WAS,L2 External Communication
019269_VFS AUS WAS,L2 Initiation & Activation Management
019269_VFS AUS WAS,L2 Invoice Management
019269_VFS AUS WAS,L2 Master Data Management
019269_VFS AUS WAS,L2 Payment Management
019269_VFS AUS WAS,L2 User Authentication
019269_VFS AUS WAS,L2 User Authorization
019269_VFS AUS WAS,L3 Charges & Fees Management (v5.3)
019269_VFS AUS WAS,L3 Contract Activation
019269_VFS AUS WAS,L3 Contract Amendment
019269_VFS AUS WAS,L3 Contract Ending
019269_VFS AUS WAS,L3 Contract Initiation
019269_VFS AUS WAS,L3 Contract Termination
019269_VFS AUS WAS,L3 Customer Payment Management
019269_VFS AUS WAS,L3 Default Identification
019269_VFS AUS WAS,L3 Dunning
019269_VFS AUS WAS,L3 Incoming Invoice Management
019269_VFS AUS WAS,L3 Invoice Netting
019269_VFS AUS WAS,L3 Limit & Exposure Management
019269_VFS AUS WAS,L3 Outgoing Invoice Management
019269_VFS AUS WAS,L3 Payment Execution Management
019269_VFS AUS WAS,L3 Payment Method Management
019269_VFS AUS WAS,L3 Payment Request Management
019269_VFS AUS WAS,L3 Reversals and Exception Management
019269_VFS AUS WAS,L3 Risk Decisioning
019269_VFS AUS WAS,L4 Charges & Fees Management
019269_VFS AUS WAS,L4 Credit Limit Management
019269_VFS AUS WAS,L4 Risk Authorization Management
019269_VFS AUS WAS,Market Australia (AU)
019269_VFS AUS WAS,VFS Canvas Architecture
019269_VFS AUS WAS,Wholesale Module
02 Browsing Around,02 What's Going On?
02 Browsing Around,03 Interest in Buying / Financing and Asset
02 Credit Bureau,Ability to automatically read the repayment track record from VFS database (if existing customer) or from document provided (if customer provided) / credit bureau information.
02 Credit Bureau,"Ability to do credit check (Credit Bureau check, Finscan check and KYC check of certain parties who may be relevant to the deal but may not have impact on credit decision (Authorized signatory / Ultimate Beneficiary Owner, etc.))"
02 Credit Bureau,"Ability to import, store and process required data points from the Bureau reports, e.g. Credit Bureau score, overdue, any critical observation"
02 Credit Bureau,"Ability to integrate with Bureaus (Credit Bureau, Experian, etc.) and 3rd party Aggregators for Borrower / Co-Borrower / Guarantor / Associated Parties"
02 Field Visit,"02.01 FC send their weekly field collection plan to collection manager for review, after confirmation, FC will do field collection. (FC to be able to plan their work for coming week by selecting customer contract, collection manager approve.)"
02 Field Visit,"02.02 FC can input field collection report, collection manager review the field collection report."
02 Field Visit,02.03 Mobile solution is expected to upload pics and report.
02 Quick Data Entry (QDE) - India,De-Dupe - India
02 Quick Data Entry (QDE) - India,RBI Defaulters / VFS Negative Customer List / Reject List Check - India
02 Risk Assessment - Information Gathering,02.01 Quote Request
02 Risk Assessment - Information Gathering,02.02 Create Quote
02 Risk Assessment - Information Gathering,02.03 Pricing Quote
02 Risk Assessment - Information Gathering,02.04 Receive Quote
02 Risk Assessment - Information Gathering,02.05 Protect Customer Financial Data
02 Risk Assessment - Information Gathering,02.06 Verify Customer Information
02 Risk Assessment - Information Gathering,02.07 Obtain Additional Information
02 Transfer Customer EIN and Onboarding Info in RBA Module,03 Store Information in VFS DWH
02 Transfer Customer EIN and Onboarding Info in RBA Module,"04 UBO Check via UBO Register, Credit Bureau or D&B with Selection Criteria"
02 What's Going On?,03 What suits my needs? What can I afford?
02.01 Quote Request,02.02 Create Quote
02.02 Create Quote,02.03 Pricing Quote
02.03 Pricing Quote,02.04 Receive Quote
02.04 Receive Quote,02.05 Protect Customer Financial Data
02.05 Protect Customer Financial Data,02.06 Verify Customer Information
02.06 Verify Customer Information,02.07 Obtain Additional Information
021129_VFSMD,018390_TIM
021129_VFSMD,019222_VFS Connect
021129_VFSMD,019256_Vienna
021129_VFSMD,059546_VFS Bank Broker
021129_VFSMD,060215_Charisma EMEA
021129_VFSMD,111072_VFS EMEA DWH R2
021129_VFSMD,Asset provisioning
021129_VFSMD,Data Platform (DP)
021129_VFSMD,Dealer provisioning
021129_VFSMD,L0 Supporting Capabilities
021129_VFSMD,L1 Data Management
021129_VFSMD,Market Austria (AT)
021129_VFSMD,Market Belgium (BE)
021129_VFSMD,Market Bulgaria (BG)
021129_VFSMD,Market Czech Republic (CZ)
021129_VFSMD,Market Denmark (DK)
021129_VFSMD,Market Estonia (EE)
021129_VFSMD,Market Finland (FI)
021129_VFSMD,Market France (FR)
021129_VFSMD,Market Germany (DE)
021129_VFSMD,Market Hungary (HU)
021129_VFSMD,Market Ireland (IE)
021129_VFSMD,Market Italy (IT)
021129_VFSMD,Market Latvia (LV)
021129_VFSMD,Market Lithuania (LT)
021129_VFSMD,Market Netherlands (NL)
021129_VFSMD,Market Norway (NO)
021129_VFSMD,Market Poland (PL)
021129_VFSMD,Market Romania (RO)
021129_VFSMD,Market Russia (RU)
021129_VFSMD,Market Slovakia (SK)
021129_VFSMD,Market Slovenia (SL)
021129_VFSMD,Market South Africa (ZA)
021129_VFSMD,Market Spain (ES)
021129_VFSMD,Market Sweden (SE)
021129_VFSMD,Market Switzerland (CH)
021129_VFSMD,Market Turkey (TR)
021129_VFSMD,Market United Kingdom (GB)
021129_VFSMD,VFS Canvas Architecture
025271_Report Center,L0 Supporting Capabilities
025271_Report Center,L1 Data Management
025271_Report Center,Market China (CN-AFC)
025271_Report Center,Market China (CN-FLC)
025273_Interbank Lending CNY,Business Engine Platform (BEP)
025273_Interbank Lending CNY,Finance Platform
025273_Interbank Lending CNY,L0 Strategy Capabilities
025273_Interbank Lending CNY,L0 Supporting Capabilities
025273_Interbank Lending CNY,L1 Finance
025273_Interbank Lending CNY,L1 Legal & Compliance Management
025273_Interbank Lending CNY,L2 Market Regulation Compliance
025273_Interbank Lending CNY,Market China (CN-AFC)
025273_Interbank Lending CNY,VFS Canvas Architecture
025274_CBRC-Doc Handling System,BEP AppStore
025274_CBRC-Doc Handling System,Business Engine Platform (BEP)
025274_CBRC-Doc Handling System,CBRC Website
025274_CBRC-Doc Handling System,Customer & Partner Engagement
025274_CBRC-Doc Handling System,L0 Core Capabilities
025274_CBRC-Doc Handling System,L0 Supporting Capabilities
025274_CBRC-Doc Handling System,L1 Customer Relationship Management
025274_CBRC-Doc Handling System,L1 Legal & Compliance Management
025274_CBRC-Doc Handling System,L2 Market Regulation Compliance
025274_CBRC-Doc Handling System,Market China (CN-AFC)
025274_CBRC-Doc Handling System,VFS Canvas Architecture
025275_CBRC-Reporting System,CBRC Website
025275_CBRC-Reporting System,Data Platform (DP)
025275_CBRC-Reporting System,L0 Supporting Capabilities
025275_CBRC-Reporting System,L1 Data Management
025275_CBRC-Reporting System,L1 Legal & Compliance Management
025275_CBRC-Reporting System,L2 Market Regulation Compliance
025275_CBRC-Reporting System,Market China (CN-AFC)
025275_CBRC-Reporting System,SMTP Email Gateway
025275_CBRC-Reporting System,VFS Canvas Architecture
025276_PBOC-CCR,BEP AppStore
025276_PBOC-CCR,Business Engine Platform (BEP)
025276_PBOC-CCR,L0 Supporting Capabilities
025276_PBOC-CCR,L1 Legal & Compliance Management
025276_PBOC-CCR,L2 Market Regulation Compliance
025276_PBOC-CCR,Market China (CN-AFC)
025276_PBOC-CCR,PBOC Site
025276_PBOC-CCR,Risk assessment
025276_PBOC-CCR,VFS Canvas Architecture
025277_PBOC-AML,002575_VFS China CMS
025277_PBOC-AML,019222_VFS Connect
025277_PBOC-AML,097464_VFS Finscan APAC
025277_PBOC-AML,Add Audit Trail for Name List Review
025277_PBOC-AML,Add Audit Trail for Risk Grading Review
025277_PBOC-AML,AML Final Report
025277_PBOC-AML,AML Report Database
025277_PBOC-AML,AML solution
025277_PBOC-AML,AML Storage
025277_PBOC-AML,Auto screening in FinScan
025277_PBOC-AML,BEP AppStore
025277_PBOC-AML,Business Engine Platform (BEP)
025277_PBOC-AML,Commercial Services & Products Operations
025277_PBOC-AML,Customer Rating Model
025277_PBOC-AML,Customer Re-KYC / Re-UBO Check
025277_PBOC-AML,Define Compliance Required AML Interval and Scope
025277_PBOC-AML,Follow up the Suspicious Transaction Checking
025277_PBOC-AML,"If need follow up, work in AML system"
025277_PBOC-AML,Inform Compliance Team on Findings
025277_PBOC-AML,Informed by AML System on Customer ID to be Expired
025277_PBOC-AML,L0 Core Capabilities
025277_PBOC-AML,L0 Supporting Capabilities
025277_PBOC-AML,L1 Commercial Operations
025277_PBOC-AML,L1 Legal & Compliance Management
025277_PBOC-AML,L2 Credit & Risk Management
025277_PBOC-AML,L2 Market Regulation Compliance
025277_PBOC-AML,Log verification record in AML system
025277_PBOC-AML,Market China (CN-AFC)
025277_PBOC-AML,Name List Lookup Service Handler
025277_PBOC-AML,Regular Compliance AML Checking Result Follow Up
025277_PBOC-AML,Report Multiple Approval
025277_PBOC-AML,Report suspicious transaction to compliance in AML system
025277_PBOC-AML,Result return to AML system
025277_PBOC-AML,Risk Checking Module
025277_PBOC-AML,Rule Based Risk Grading Calculation
025277_PBOC-AML,Suspicious Transaction Report
025277_PBOC-AML,Trigger AML check/verification reminder in AML system
025277_PBOC-AML,Trigger AML Name List and Risk Grading Check
025277_PBOC-AML,Trigger manual screen request in AML system
025277_PBOC-AML,"Trigger Regular Compliance Based Customer AML Re-Idenfiication and Scanning, Financial Product and AFC Institute Grading"
025277_PBOC-AML,User
025277_PBOC-AML,Vendor Job/Batch
025277_PBOC-AML,Vendor UI Edit/Approval
025277_PBOC-AML,VFS Canvas Architecture
025281_Auto Invoicing System,Business Engine Platform (BEP)
025281_Auto Invoicing System,Commercial Services & Products Operations
025281_Auto Invoicing System,Finance Platform
025281_Auto Invoicing System,L0 Core Capabilities
025281_Auto Invoicing System,L1 Commercial Operations
025281_Auto Invoicing System,L2 Invoice Management
025281_Auto Invoicing System,Market China (CN-AFC)
025281_Auto Invoicing System,Market China (CN-FLC)
025281_Auto Invoicing System,VFS Canvas Architecture
028792_CTCREDRSK - Credit Risk Pack,Commercial Services & Products Operations
028792_CTCREDRSK - Credit Risk Pack,L0 Core Capabilities
028792_CTCREDRSK - Credit Risk Pack,L1 Commercial Operations
028792_CTCREDRSK - Credit Risk Pack,L2 Credit & Risk Management
028792_CTCREDRSK - Credit Risk Pack,Market Brazil (BR)
029334_Longtop Leasing Disclosure,L0 Supporting Capabilities
029334_Longtop Leasing Disclosure,L1 Legal & Compliance Management
029334_Longtop Leasing Disclosure,L2 Market Regulation Compliance
029334_Longtop Leasing Disclosure,L4 Asset Credit Grading Rule Management
029334_Longtop Leasing Disclosure,Market China (CN-AFC)
029334_Longtop Leasing Disclosure,new_ACE_China-AFC/FLC (logical seperating)
029334_Longtop Leasing Disclosure,Unknown
029334_Longtop Leasing Disclosure,VFS Canvas Architecture
029335_Longtop CIS Database,Data Platform (DP)
029335_Longtop CIS Database,L0 Supporting Capabilities
029335_Longtop CIS Database,L1 Legal & Compliance Management
029335_Longtop CIS Database,L2 Market Regulation Compliance
029335_Longtop CIS Database,Market China (CN-AFC)
029335_Longtop CIS Database,VFS Canvas Architecture
03 Communication (Dealer),"03.01 Send various documents/emails to dealer manually to be generated: Statement of account report, show all the money paid record from dealer."
03 Communication (Dealer),"03.02 Send various documents/emails to dealer manually to be generated: resource of payment(来款来源证明), deposit confirmation letter, repossession authority letter"
03 Communication (Dealer),03.03 Send various documents/emails to dealer manually to be generated: rent acceleration due notice （租金加速到期通知书）
03 Communication (Dealer),03.04 Send various documents/emails to dealer manually to be generated: risk reminder (风险提示函)
03 Communication (Dealer),"03.05 Dealer portal, dealer can view the reports from the system."
03 Detailed Data Entry (DDE) - India,Complete Application - India
03 FinScan Check,"Ability to do credit check (Credit Bureau check, Finscan check and KYC check of certain parties who may be relevant to the deal but may not have impact on credit decision (Authorized signatory / Ultimate Beneficiary Owner, etc.))"
03 Insurance Products,INSURANCE PRODUCTS
03 Interest in Buying / Financing and Asset,03 What suits my needs? What can I afford?
03 Interest in Buying / Financing and Asset,04 Interact with Dealer / VFS to Initiate Discussion
03 Risk Assessment - Underwriting,03.01 Comprehensive Analysis on Credit Application
03 Risk Assessment - Underwriting,03.02 Divert Applications for Credit Decision
03 Risk Assessment - Underwriting,03.03 Authorization to Change Score Card Parameters
03 Risk Assessment - Underwriting,03.04 Approval/Reject Credit Request
03 Risk Assessment - Underwriting,03.05 Establish Local Credit Committee
03 Risk Assessment - Underwriting,03.06 Approve Individual Credit Authorities
03 Risk Assessment - Underwriting,03.07 Back Test Credit Decisions
03 Risk Assessment - Underwriting,03.08 Record Customer Credit Approval
03 Risk Assessment - Underwriting,03.09 Deliver to the Dealer / VFS Sales / Operation an Approval / Rejection Letter
03 Risk Assessment - Underwriting,03.10 Segment Analysis
03 What suits my needs? What can I afford?,04 Can You Meet My Need?
03.01 Comprehensive Analysis on Credit Application,03.02 Divert Applications for Credit Decision
03.02 Divert Applications for Credit Decision,03.03 Authorization to Change Score Card Parameters
03.03 Authorization to Change Score Card Parameters,03.04 Approval/Reject Credit Request
030064_Serasa,Commercial Services & Products Operations
030064_Serasa,L0 Core Capabilities
030064_Serasa,L1 Commercial Operations
030064_Serasa,L2 Credit & Risk Management
030064_Serasa,Market Brazil (BR)
031698_VFS Americas WFS,019223_VFS Americas Pyramid
031698_VFS Americas WFS,063183_VFS Americas Funding Services
031698_VFS Americas WFS,BEP Lease Loan WHS
031698_VFS Americas WFS,BEP Products
031698_VFS Americas WFS,Business Engine Platform (BEP)
031698_VFS Americas WFS,Commercial Services & Products Operations
031698_VFS Americas WFS,Customer & Partner Engagement
031698_VFS Americas WFS,L0 Core Capabilities
031698_VFS Americas WFS,L1 Commercial Operations
031698_VFS Americas WFS,L1 Customer Relationship Management
031698_VFS Americas WFS,L2 Asset Management
031698_VFS Americas WFS,L2 Collection Management
031698_VFS Americas WFS,L2 Contract Management
031698_VFS Americas WFS,L2 Credit & Risk Management
031698_VFS Americas WFS,L2 Invoice Management
031698_VFS Americas WFS,L2 Payment Management
031698_VFS Americas WFS,Market Brazil (BR)
031698_VFS Americas WFS,Market Canada (CA)
031698_VFS Americas WFS,Market Mexico (MX)
031698_VFS Americas WFS,Market US (US)
031698_VFS Americas WFS,VFS Canvas Architecture
032286_FinanceFlex,111072_VFS EMEA DWH R2
032286_FinanceFlex,Accounting Module
032286_FinanceFlex,Asset& Service Mngmt Module
032286_FinanceFlex,Basel II and CoBIT Compliance
032286_FinanceFlex,BEP Lease Loan WHS
032286_FinanceFlex,BEP Products
032286_FinanceFlex,Business Engine Platform (BEP)
032286_FinanceFlex,Collateral Module
032286_FinanceFlex,Collection - Turkey
032286_FinanceFlex,Commercial Services & Products Operations
032286_FinanceFlex,Contract Module
032286_FinanceFlex,Credit Evaluation Module
032286_FinanceFlex,Credit Plan Management
032286_FinanceFlex,CRM Module
032286_FinanceFlex,Current Account Module
032286_FinanceFlex,Customer & Partner Engagement
032286_FinanceFlex,Customer Risk Management Module
032286_FinanceFlex,Dealer Module
032286_FinanceFlex,Finance - Turkey
032286_FinanceFlex,Finance Platform
032286_FinanceFlex,Financial Management Module
032286_FinanceFlex,Generate Offer
032286_FinanceFlex,L0 Core Capabilities
032286_FinanceFlex,L0 Strategy Capabilities
032286_FinanceFlex,L1 Commercial Operations
032286_FinanceFlex,L1 Customer Relationship Management
032286_FinanceFlex,L1 Document Management
032286_FinanceFlex,L1 Finance
032286_FinanceFlex,L2 Behavioral Screening
032286_FinanceFlex,L2 Contract Management
032286_FinanceFlex,L2 Credit & Risk Management
032286_FinanceFlex,L2 Price & Campaign Management
032286_FinanceFlex,L2 Quote Management
032286_FinanceFlex,L2 Sales & Receivables
032286_FinanceFlex,L2 Stakeholder Screening
032286_FinanceFlex,L3 Analytical Reporting & Dashboards
032286_FinanceFlex,L3 Risk Decisioning
032286_FinanceFlex,Market Turkey (TR)
032286_FinanceFlex,Modules in FinanceFlex
032286_FinanceFlex,Offer Module
032286_FinanceFlex,Operations - Turkey
032286_FinanceFlex,Renew Offer
032286_FinanceFlex,Retister Application
032286_FinanceFlex,Review Application
032286_FinanceFlex,RHAPSODY Service Engine
032286_FinanceFlex,Send Offer to Dealer
032286_FinanceFlex,Submit Application
032286_FinanceFlex,VFS Canvas Architecture
032286_FinanceFlex,Web GUI
032290_VFS Americas Rapport,Commercial Services & Products Operations
032290_VFS Americas Rapport,Customer & Partner Engagement
032290_VFS Americas Rapport,L0 Core Capabilities
032290_VFS Americas Rapport,L1 Commercial Operations
032290_VFS Americas Rapport,L1 Customer Relationship Management
032290_VFS Americas Rapport,L1 Sales
032290_VFS Americas Rapport,L2 Asset Management
032290_VFS Americas Rapport,L2 Collection Management
032290_VFS Americas Rapport,L2 Contract Management
032290_VFS Americas Rapport,L2 Credit & Risk Management
032290_VFS Americas Rapport,L2 Invoice Management
032290_VFS Americas Rapport,L2 Payment Management
032290_VFS Americas Rapport,L2 Quote Management
032290_VFS Americas Rapport,L2 Sales Account Management
032290_VFS Americas Rapport,Market Canada (CA)
032290_VFS Americas Rapport,Market Mexico (MX)
032290_VFS Americas Rapport,Market US (US)
033792_PBOC T+1 Individual,L0 Supporting Capabilities
033792_PBOC T+1 Individual,L1 Legal & Compliance Management
033792_PBOC T+1 Individual,L2 Market Regulation Compliance
033792_PBOC T+1 Individual,Market China (CN-AFC)
033792_PBOC T+1 Individual,Unknown
033792_PBOC T+1 Individual,VFS Canvas Architecture
035189_Viewpoint v2,L0 Supporting Capabilities
035189_Viewpoint v2,L1 Data Management
035189_Viewpoint v2,Market United Kingdom (GB)
035189_Viewpoint v2,Unknown
035189_Viewpoint v2,VFS Canvas Architecture
036289_Integration Manager,Market US (US)
036289_Integration Manager,Unknown
036289_Integration Manager,VFS Canvas Architecture
036291_VFS Americas Data Warehouse,019145_VFS Americas Business Objects NA
036291_VFS Americas Data Warehouse,019187_VFS Americas Hyperion
036291_VFS Americas Data Warehouse,019223_VFS Americas Pyramid
036291_VFS Americas Data Warehouse,Data Platform (DP)
036291_VFS Americas Data Warehouse,L0 Supporting Capabilities
036291_VFS Americas Data Warehouse,L1 Data Management
036291_VFS Americas Data Warehouse,Market Canada (CA)
036291_VFS Americas Data Warehouse,Market Mexico (MX)
036291_VFS Americas Data Warehouse,Market US (US)
036291_VFS Americas Data Warehouse,VFS Canvas Architecture
036292_Sage Software,L0 Supporting Capabilities
036292_Sage Software,L1 Legal & Compliance Management
036292_Sage Software,Market Canada (CA)
036292_Sage Software,Market US (US)
036292_Sage Software,Unknown
036292_Sage Software,VFS Canvas Architecture
036296_VFS Americas Salesforce,Customer & Partner Engagement
036296_VFS Americas Salesforce,DEP AppStore
036296_VFS Americas Salesforce,DEP Channels
036296_VFS Americas Salesforce,DEP Channels - Employee
036296_VFS Americas Salesforce,DEP Lease Loan WHS
036296_VFS Americas Salesforce,DEP Products
036296_VFS Americas Salesforce,Digital Engagement Platform (DEP)
036296_VFS Americas Salesforce,L0 Core Capabilities
036296_VFS Americas Salesforce,L1 Customer & Partner Support
036296_VFS Americas Salesforce,L2 Service Management
036296_VFS Americas Salesforce,L3 Case Management
036296_VFS Americas Salesforce,Market Canada (CA)
036296_VFS Americas Salesforce,Market US (US)
036296_VFS Americas Salesforce,VFS Canvas Architecture
037469_VGIP_GEBIS,129329_VFS China Payment Allocation System
037469_VGIP_GEBIS,146_SAP_VGMF
037785_PM APAC (AFC),04.08 Contract Draft
037785_PM APAC (AFC),076720_Finscan AFC
037785_PM APAC (AFC),076774_CCX - China ChengXin
037785_PM APAC (AFC),114632_VFS China EAST
037785_PM APAC (AFC),5. Upload Customer Information to Price Manager and Submit (China)
037785_PM APAC (AFC),6. Credit Review and Approval (China)
037785_PM APAC (AFC),AML Checking Result Display
037785_PM APAC (AFC),AML Data Source
037785_PM APAC (AFC),AML Risk Grading and Finscan Result Handling
037785_PM APAC (AFC),AML: Customer Risk Rating Check
037785_PM APAC (AFC),Application Quotation
037785_PM APAC (AFC),"Application Quotation, Customer Info Input (UBO)"
037785_PM APAC (AFC),Check Button to Trigger AML Check
037785_PM APAC (AFC),Check Customer Identification via CCX
037785_PM APAC (AFC),Check KYC/UBO and Calculate Risk Grading
037785_PM APAC (AFC),Commercial Services & Products Operations
037785_PM APAC (AFC),Credit Underwriting Module
037785_PM APAC (AFC),Customer & Partner Engagement
037785_PM APAC (AFC),Customer Credit Rating Confirm
037785_PM APAC (AFC),Initial Black List and AML Risk Rating Check
037785_PM APAC (AFC),Initial Wholesale Contract - China
037785_PM APAC (AFC),IT
037785_PM APAC (AFC),KYC Check
037785_PM APAC (AFC),L0 Core Capabilities
037785_PM APAC (AFC),L0 Supporting Capabilities
037785_PM APAC (AFC),L1 Commercial Operations
037785_PM APAC (AFC),L1 Customer Relationship Management
037785_PM APAC (AFC),L1 Document Management
037785_PM APAC (AFC),L1 Sales
037785_PM APAC (AFC),L2 Credit & Risk Management
037785_PM APAC (AFC),L2 Document Capture
037785_PM APAC (AFC),L2 Document Distribution & Publication
037785_PM APAC (AFC),L2 Document Generation
037785_PM APAC (AFC),L2 Document Store & Archive
037785_PM APAC (AFC),L2 Quote Management
037785_PM APAC (AFC),L3 Asset Assessment
037785_PM APAC (AFC),L3 Credit & Risk Request Management
037785_PM APAC (AFC),L3 Customer Credit Assessment
037785_PM APAC (AFC),L3 Limit & Exposure Management
037785_PM APAC (AFC),L3 Risk Decisioning
037785_PM APAC (AFC),L3 Risk Mitigation
037785_PM APAC (AFC),L3 Transaction Assessment
037785_PM APAC (AFC),L4 Credit Condition Management
037785_PM APAC (AFC),L4 Credit Limit Management
037785_PM APAC (AFC),L4 Credit Request Type Management
037785_PM APAC (AFC),L4 Customer Credit Grading Rule Management
037785_PM APAC (AFC),L4 Customer Credit Report Management
037785_PM APAC (AFC),L4 Customer External Payment Behavior Reporting
037785_PM APAC (AFC),L4 Customer Financial Statement Management
037785_PM APAC (AFC),L4 Customer VFS Payment Behavior Reporting
037785_PM APAC (AFC),L4 External Exposure Management
037785_PM APAC (AFC),L4 Risk Authorization Management
037785_PM APAC (AFC),L4 Risk Decision Rule Management
037785_PM APAC (AFC),L4 VFS Exposure Management
037785_PM APAC (AFC),Perform credit underwriting and provide/obtain credit approval
037785_PM APAC (AFC),Quotation Approval / Reject
037785_PM APAC (AFC),RBA Module - Europe
037785_PM APAC (AFC),Reject Quotation
037785_PM APAC (AFC),"Review Screen for AML Risk Grading, Update Button"
037785_PM APAC (AFC),"Review Screen for Finscan Matches, Update Button"
037785_PM APAC (AFC),Submit Credit Applications in PM
037785_PM APAC (AFC),Trigger AML Name List and Risk Grading Check
037785_PM APAC (AFC),Verify Customer Info Need Update or Not
038236_CTJDPOS - VFS Positive File - Active,Customer & Partner Engagement
038236_CTJDPOS - VFS Positive File - Active,L0 Core Capabilities
038236_CTJDPOS - VFS Positive File - Active,L1 Customer Relationship Management
039340_Initiations Database,Commercial Services & Products Operations
039340_Initiations Database,L0 Core Capabilities
039340_Initiations Database,L1 Commercial Operations
039340_Initiations Database,L2 Contract Management
039340_Initiations Database,Market Ireland (IE)
039340_Initiations Database,Market United Kingdom (GB)
039340_Initiations Database,Unknown
039340_Initiations Database,VFS Canvas Architecture
039388_DWH Nordics-VFSI,Data Platform (DP)
039388_DWH Nordics-VFSI,L0 Supporting Capabilities
039388_DWH Nordics-VFSI,L1 Data Management
039388_DWH Nordics-VFSI,Market Belarus (BY)
039388_DWH Nordics-VFSI,Market Denmark (DK)
039388_DWH Nordics-VFSI,Market Finland (FI)
039388_DWH Nordics-VFSI,Market Kazakhstan (KZ)
039388_DWH Nordics-VFSI,Market Montenegro (ME)
039388_DWH Nordics-VFSI,Market North Macedonia (MK)
039388_DWH Nordics-VFSI,Market Norway (NO)
039388_DWH Nordics-VFSI,Market Serbia (RS)
039388_DWH Nordics-VFSI,Market Sweden (SE)
039388_DWH Nordics-VFSI,VFS Canvas Architecture
